"id","name","address","latitude","longitude","kakaoSearchKeyword","officialSourceName","officialSourceUrl","verifiedAt","selectedKakaoPlaceName","selectedKakaoPlaceId","selectedKakaoPlaceUrl","confidenceScore","kakaoNeedsReview","reason","candidate1PlaceName","candidate1Id","candidate1PlaceUrl","candidate1AddressName","candidate1RoadAddressName","candidate1CategoryName","candidate2PlaceName","candidate2Id","candidate2PlaceUrl","candidate2AddressName","candidate2RoadAddressName","candidate2CategoryName","candidate3PlaceName","candidate3Id","candidate3PlaceUrl","candidate3AddressName","candidate3RoadAddressName","candidate3CategoryName"
"place-251","부산영화체험박물관","부산 중구 대청로126번길 12","35.10167005560038","129.03375129205247","부산영화체험박물관","부산광역시 아이랑 가볼만한 곳","https://www.busan.go.kr/childcare/childcare0301","2026-09-09","부산영화체험박물관","773629847","https://place.map.kakao.com/773629847","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·중구·대청로126번길·12 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","부산영화체험박물관","773629847","https://place.map.kakao.com/773629847","부산 중구 동광동3가 41-4","부산 중구 대청로126번길 12","문화,예술 > 문화시설 > 박물관","부산영화체험박물관 전기차충전소","664652126","https://place.map.kakao.com/664652126","부산 중구 동광동3가 41-4","부산 중구 대청로126번길 12","교통,수송 > 자동차 > 전기차 충전소","씨네뮤지엄 부산","1265298414","https://place.map.kakao.com/1265298414","부산 중구 동광동3가 41-4","부산 중구 대청로126번길 12","문화,예술 > 문화시설 > 전시관"
"place-252","부산근현대역사관 본관","부산 중구 대청로 112","35.1025649585736","129.032137450333","부산근현대역사관 본관","부산근현대역사관","https://www.busan.go.kr/mmch/index","2026-09-09","부산근현대역사관 본관","999813771","https://place.map.kakao.com/999813771","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·중구·대청로·112 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","부산근현대역사관 본관","999813771","https://place.map.kakao.com/999813771","부산 중구 대청동1가 44","부산 중구 대청로 112","문화,예술 > 문화시설 > 박물관","","","","","","","","","","","",""
"place-253","국립일제강제동원역사관","부산 남구 홍곡로320번길 100","35.1243436692899","129.091912871304","국립일제강제동원역사관","국립일제강제동원역사관","https://www.fomo.or.kr/","2026-09-09","국립일제강제동원역사관","1822480182","https://place.map.kakao.com/1822480182","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·남구·홍곡로320번길·100 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","국립일제강제동원역사관","1822480182","https://place.map.kakao.com/1822480182","부산 남구 대연동 1147-3","부산 남구 홍곡로320번길 100","문화,예술 > 문화시설 > 박물관","","","","","","","","","","","",""
"place-254","부산어촌민속관","부산 북구 학사로 128","35.23373329879068","129.00855258184157","부산어촌민속관","부산광역시 부산어촌민속관","https://www.busan.go.kr/sea/folk10","2026-09-09","부산어촌민속관","9807027","https://place.map.kakao.com/9807027","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·북구·학사로·128 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","부산어촌민속관","9807027","https://place.map.kakao.com/9807027","부산 북구 화명동 2279","부산 북구 학사로 128","문화,예술 > 문화시설 > 박물관","","","","","","","","","","","",""
"place-255","복천박물관","부산 동래구 복천로 63","35.2088309690619","129.091157907596","복천박물관","부산광역시 복천박물관","https://museum.busan.go.kr/bokcheon/","2026-09-09","복천박물관","12631035","https://place.map.kakao.com/12631035","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·동래구·복천로·63·동래 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","복천박물관","12631035","https://place.map.kakao.com/12631035","부산 동래구 복천동 13","부산 동래구 복천로 63","문화,예술 > 문화시설 > 박물관","복천박물관 야외전시관","17575027","https://place.map.kakao.com/17575027","부산 동래구 복천동 50","부산 동래구 복천로 66","문화,예술 > 문화시설 > 전시관","복천박물관 주차장 전기차충전소","422928500","https://place.map.kakao.com/422928500","부산 동래구 칠산동 50","","교통,수송 > 자동차 > 전기차 충전소"
"place-256","정관박물관","부산 기장군 정관읍 정관중앙로 122","35.327064697461495","129.18306686060703","정관박물관","부산광역시 정관박물관","https://museum.busan.go.kr/jeonggwan/","2026-09-09","정관박물관","26479723","https://place.map.kakao.com/26479723","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·기장군·정관읍·정관중앙로·122·기장 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","정관박물관","26479723","https://place.map.kakao.com/26479723","부산 기장군 정관읍 방곡리 442","부산 기장군 정관읍 정관중앙로 122","문화,예술 > 문화시설 > 박물관","","","","","","","","","","","",""
"place-257","동삼동패총전시관","부산 영도구 태종로 729","35.0711871185677","129.079685670175","동삼동패총전시관","부산광역시 동삼동패총전시관","https://museum.busan.go.kr/dongsam/","2026-09-09","동삼동패총전시관","8112090","https://place.map.kakao.com/8112090","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·영도구·태종로·729·영도 일치 · 기존 좌표에서 0m · 카테고리 전시관 일치 · 기존 장소 ID 일치","동삼동패총전시관","8112090","https://place.map.kakao.com/8112090","부산 영도구 동삼동 748-5","부산 영도구 태종로 729","문화,예술 > 문화시설 > 전시관","","","","","","","","","","","",""
"place-258","부산과학체험관","부산 동구 중앙대로260번길 11","35.1203218099359","129.044130047543","부산과학체험관","부산광역시교육청 부산과학체험관","https://home.pen.go.kr/scinuri/","2026-09-09","부산과학체험관","27094257","https://place.map.kakao.com/27094257","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·동구·중앙대로260번길·11 일치 · 기존 좌표에서 0m · 기존 장소 ID 일치","부산과학체험관","27094257","https://place.map.kakao.com/27094257","부산 동구 초량동 1167","부산 동구 중앙대로260번길 11","교육,학문 > 교육단체 > 체험학습장","부산과학체험관 전기차충전소","487572831","https://place.map.kakao.com/487572831","부산 동구 초량동 1167","부산 동구 중앙대로260번길 11","교통,수송 > 자동차 > 전기차 충전소","부산과학체험관 주차장","1090959393","https://place.map.kakao.com/1090959393","부산 동구 초량동 1167","부산 동구 중앙대로260번길 11","교통,수송 > 교통시설 > 주차장"
"place-259","낙동강하구에코센터","부산 사하구 낙동남로 1240","35.104390581137736","128.94582980921007","낙동강하구에코센터","부산광역시 낙동강하구에코센터","https://www.busan.go.kr/wetland/","2026-09-09","낙동강하구에코센터","63050831","https://place.map.kakao.com/63050831","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·사하구·낙동남로·1240·사하 일치 · 기존 좌표에서 0m · 기존 장소 ID 일치","낙동강하구에코센터","63050831","https://place.map.kakao.com/63050831","부산 사하구 하단동 1207-2","부산 사하구 낙동남로 1240","문화,예술 > 문화시설 > 박물관","낙동강 하구에코센터 관리사무소","8224246","https://place.map.kakao.com/8224246","부산 사하구 하단동 1207-2","부산 사하구 낙동남로 1240","서비스,산업 > 관리,운영 > 건물관리사무소","낙동강하구에코센터 공영주차장","1996194544","https://place.map.kakao.com/1996194544","부산 사하구 하단동 1150-8","","교통,수송 > 교통시설 > 주차장 > 공영주차장"
"place-260","국회부산도서관","부산 강서구 명지국제1로 161","35.103462407795654","128.90441097323466","국회부산도서관","국회부산도서관","https://busan.nanet.go.kr/","2026-09-09","국회부산도서관","1000608800","https://place.map.kakao.com/1000608800","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 부산·강서구·명지국제1로·161·강서 일치 · 기존 좌표에서 0m · 카테고리 도서관 일치 · 기존 장소 ID 일치","국회부산도서관","1000608800","https://place.map.kakao.com/1000608800","부산 강서구 명지동 3633","부산 강서구 명지국제1로 161","교육,학문 > 학습시설 > 도서관","국회부산도서관 주차장","35656294","https://place.map.kakao.com/35656294","부산 강서구 명지동 3671","","교통,수송 > 교통시설 > 주차장","국회부산도서관 전기차충전소","1528423349","https://place.map.kakao.com/1528423349","부산 강서구 명지동 3671","","교통,수송 > 자동차 > 전기차 충전소"
